手机号,密码,姓名,单位,身份证号,角色,状态
13900139001,Pass@123456,王强,实验中学,110103197803203456,project_admin,active
13900139002,Pass@123456,刘芳,第二中学,110104198506254567,project_admin,active
13900139003,Pass@123456,陈明,第三中学,110105197912106678,project_admin,active
13700137001,Pass@123456,赵丽,铁西区教育局,110106198308157789,data_collector,active
13700137002,Pass@123456,孙静,沈河区教育局,110107199001208890,data_collector,active
13700137003,Pass@123456,周勇,和平区教育局,110108198704119901,data_collector,active
13700137004,Pass@123456,吴敏,大东区教育局,110109199205231012,data_collector,active
13700137005,Pass@123456,郑华,皇姑区教育局,110110198611141123,data_collector,active
13700137006,Pass@123456,钱军,浑南区教育局,110111199308251234,data_collector,active
13600136001,Pass@123456,朱建国,师范大学教育学院,110112196805163345,project_expert,active
13600136002,Pass@123456,林晓东,教育科学研究院,110113197012094456,project_expert,active
13600136003,Pass@123456,胡文杰,教育评估中心,110114196909175567,project_expert,active
13600136004,Pass@123456,马丽萍,教育督导研究所,110115197506286678,project_expert,active
13600136005,Pass@123456,许志强,高等教育研究中心,110116197203127789,project_expert,active
